Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
60.41,30.54,81.64,58.66,55.11,24.03,27.61,43.81,39.93,35.95,27.18,14.73
66.26,23.92,47.08,57.4,99.32,67.08,63.29,87.99,17.72,16.63,54.84,42.83
98.15,93.05,29.74,34.82,70.69,33.29,16.79,78.79,16.81,66.38,63.1,62.12
30.85,83.07,10.23,33.05,5.72,46.99,99.19,84.04,14.86,74.57,6.98,44.34
14.37,92.67,50.13,91.18,34.58,71.06,19.52,85.66,25.47,95.33,29.8,15.11
81.56,10.37,93.03,91.75,68.66,96.97,46.22,30.98,46.29,39.81,41.98,54.33
60.08,56.4,2.17,48.77,53.72,91.43,35.92,70.43,0.28,66.11,87.92,17.69
28.51,66.89,45.79,85.86,82.83,91.18,14.94,83.52,21.33,51.01,86.81,41.15
5.43,15.76,51.16,78.47,38.69,47.2,54.18,28.38,17.29,77.31,70.28,36.01
69.57,91.51,56.67,98.62,92.55,80.61,20.35,19.48,20.31,0.03,47.36,75.71
51.62,91.4,6.4,8.24,2.04,25.07,48.48,69.35,73.55,99.49,56.29,89.84
86.64,34.22,97.46,20.58,63.91,29.39,92.75,62.83,20.48,35.27,80.91,6.22
14.42,19.06,48.07,17.61,1.59,26.84,72.56,80.9,77.56,47.28,56.21,19.16
25.38,33.33,42.8,40.82,76.4,40.12,85.65,78.18,74.24,47.27,50.03,39.63
79.16,48.63,71.18,79.5,41.33,14.75,54.9,32.09,4.33,63.18,81.6,44.46
74.94,25.23,5.94,41.34,0.47,8.05,95.37,14.9,85.71,89.0,59.99,16.25
96.07,89.53,5.1,23.08,3.71,38.11,20.08,61.24,63.59,54.76,62.03,89.31
72.24,33.48,60.41,33.13,57.81,91.31,4.4,47.33,22.79,85.28,67.98,0.11
46.12,76.39,45.0,94.71,23.79,77.77,57.65,53.32,73.46,11.14,87.22,20.51
58.46,25.24,67.52,24.67,73.82,49.62,40.83,94.05,58.2,8.3,21.62,11.82
88.35,42.86,13.86,2.5,91.16,62.04,43.3,71.81,30.02,60.65,23.29,41.09
53.81,96.49,58.57,42.69,42.53,72.73,48.44,24.89,41.82,49.19,38.88,84.17
47.7,83.51,82.25,56.11,69.08,80.54,49.99,62.97,85.13,64.88,8.81,83.16
62.72,39.42,34.45,15.82,81.78,36.89,98.21,75.12,26.02,37.1,54.4,65.89
57.83,59.03,85.6,50.26,42.64,21.49,18.54,46.14,15.47,73.19,29.22,11.71
68.47,40.4,71.9,4.48,30.1,24.16,15.79,83.76,95.68,49.18,39.08,84.92
5.88,20.93,24.56,47.92,21.74,29.53,16.19,19.33,39.18,3.11,43.06,84.45
65.5,49.31,98.13,9.34,24.93,48.13,6.11,1.66,98.99,9.43,61.39,64.99
59.22,,38.77,48.01,27.51,45.51,8.08,73.28,56.51,10.45,10.28,71.16
89.79,,98.08,21.94,5.36,94.82,41.27,73.14,44.32,29.25,29.21,79.58
88.8,,57.06,,82.24,,51.25,5.25,,89.89,,3.67
