Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
49.74,13.17,79.57,4.99,50.38,67.45,48.85,66.75,47.24,84.85,55.54,49.64
96.58,42.23,81.17,34.64,90.06,67.48,10.91,16.48,74.3,97.13,98.86,0.14
91.03,37.43,67.33,89.65,86.08,72.42,15.36,32.89,54.8,14.16,53.84,36.1
50.36,36.82,54.97,61.25,31.91,84.21,9.7,16.14,1.5,7.58,54.98,36.52
22.15,92.8,73.08,85.98,51.28,17.97,83.29,73.89,69.85,81.81,15.11,84.98
89.17,54.97,2.39,20.25,92.77,59.74,94.78,33.23,48.71,58.67,42.77,32.49
0.71,89.46,51.8,42.25,41.63,43.35,6.13,22.19,46.0,69.66,7.45,21.14
72.03,40.73,12.52,75.73,33.07,93.74,14.68,3.53,2.45,3.16,67.02,66.52
84.92,19.95,49.1,79.38,44.67,93.4,86.13,25.43,58.43,79.66,32.13,79.71
73.8,82.27,67.86,12.89,88.29,2.32,71.37,69.65,15.99,41.86,38.03,74.28
20.07,36.65,95.99,3.5,63.76,32.75,65.71,45.43,76.6,77.76,4.8,28.71
93.28,29.98,13.36,23.18,36.1,56.69,61.5,90.46,89.85,55.85,84.88,96.47
95.1,67.89,89.59,91.54,27.55,44.01,7.6,76.14,16.71,46.01,26.73,54.76
83.64,79.59,96.19,62.73,84.19,74.07,7.18,82.39,43.88,68.79,95.21,58.36
23.23,3.2,30.98,34.29,88.23,70.83,57.46,17.89,97.85,95.36,1.53,78.51
89.78,20.78,79.58,59.52,1.63,8.98,78.16,37.76,90.37,94.83,20.45,68.34
61.8,46.21,71.4,41.42,63.9,53.18,93.08,69.86,87.3,18.24,45.47,10.06
64.82,57.41,93.83,97.01,76.3,10.4,16.73,77.57,42.35,20.31,31.96,82.88
16.3,96.71,64.62,55.47,45.26,56.89,40.45,21.42,33.19,22.53,16.29,66.9
41.38,19.23,73.17,66.83,92.17,29.34,66.8,76.58,76.06,57.57,26.98,36.42
59.45,65.96,15.25,12.14,43.72,20.68,77.43,55.14,71.6,59.87,74.36,67.83
13.67,5.06,88.52,47.28,42.06,62.32,49.5,90.01,43.6,36.82,24.38,2.79
18.27,74.34,36.82,0.66,90.95,3.49,64.23,21.34,67.99,9.46,60.49,50.15
29.33,31.07,27.77,96.87,7.03,83.24,15.78,12.53,44.59,98.05,23.41,57.78
91.31,84.06,36.57,60.69,67.56,34.81,3.41,59.66,34.35,74.59,84.96,90.69
51.13,91.5,74.93,38.86,85.64,85.13,60.17,2.3,30.98,1.87,79.86,95.67
64.44,25.65,90.02,64.82,66.91,92.98,21.45,27.35,45.79,87.52,70.02,59.85
3.11,10.87,93.78,99.38,82.86,80.97,11.41,25.61,67.94,49.57,65.84,78.37
59.83,,5.79,59.29,71.56,73.85,10.78,23.65,43.13,49.57,28.08,44.17
81.31,,50.23,46.1,92.68,88.17,37.4,34.82,22.42,53.84,15.72,12.71
16.7,,87.8,,10.6,,9.13,40.8,,82.92,,70.87
