Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
37.45,95.07,73.2,59.87,15.6,15.6,5.81,86.62,60.11,70.81,2.06,96.99
83.24,21.23,18.18,18.34,30.42,52.48,43.19,29.12,61.19,13.95,29.21,36.64
45.61,78.52,19.97,51.42,59.24,4.65,60.75,17.05,6.51,94.89,96.56,80.84
30.46,9.77,68.42,44.02,12.2,49.52,3.44,90.93,25.88,66.25,31.17,52.01
54.67,18.49,96.96,77.51,93.95,89.48,59.79,92.19,8.85,19.6,4.52,32.53
38.87,27.13,82.87,35.68,28.09,54.27,14.09,80.22,7.46,98.69,77.22,19.87
0.55,81.55,70.69,72.9,77.13,7.4,35.85,11.59,86.31,62.33,33.09,6.36
31.1,32.52,72.96,63.76,88.72,47.22,11.96,71.32,76.08,56.13,77.1,49.38
52.27,42.75,2.54,10.79,3.14,63.64,31.44,50.86,90.76,24.93,41.04,75.56
22.88,7.7,28.98,16.12,92.97,80.81,63.34,87.15,80.37,18.66,89.26,53.93
80.74,89.61,31.8,11.01,22.79,42.71,81.8,86.07,0.7,51.07,41.74,22.21
11.99,33.76,94.29,32.32,51.88,70.3,36.36,97.18,96.24,25.18,49.72,30.09
28.48,3.69,60.96,50.27,5.15,27.86,90.83,23.96,14.49,48.95,98.57,24.21
67.21,76.16,23.76,72.82,36.78,63.23,63.35,53.58,9.03,83.53,32.08,18.65
4.08,59.09,67.76,1.66,51.21,22.65,64.52,17.44,69.09,38.67,93.67,13.75
34.11,11.35,92.47,87.73,25.79,66.0,81.72,55.52,52.97,24.19,9.31,89.72
90.04,63.31,33.9,34.92,72.6,89.71,88.71,77.99,64.2,8.41,16.16,89.86
60.64,0.92,10.15,66.35,0.51,16.08,54.87,69.19,65.2,22.43,71.22,23.72
32.54,74.65,64.96,84.92,65.76,56.83,9.37,36.77,26.52,24.4,97.3,39.31
89.2,63.11,79.48,50.26,57.69,49.25,19.52,72.25,28.08,2.43,64.55,17.71
94.05,95.39,91.49,37.02,1.55,92.83,42.82,96.67,96.36,85.3,29.44,38.51
85.11,31.69,16.95,55.68,93.62,69.6,57.01,9.72,61.5,99.01,14.01,51.83
87.74,74.08,69.7,70.25,35.95,29.36,80.94,81.01,86.71,91.32,51.13,50.15
79.83,65.0,70.2,79.58,89.0,33.8,37.56,9.4,57.83,3.59,46.56,54.26
28.65,59.08,3.05,3.73,82.26,36.02,12.71,52.22,77.0,21.58,62.29,8.53
5.17,53.14,54.06,63.74,72.61,97.59,51.63,32.3,79.52,27.08,43.9,7.85
2.54,96.26,83.6,69.6,40.9,17.33,15.64,25.02,54.92,71.46,66.02,27.99
95.49,73.79,55.44,61.17,41.96,24.77,35.6,75.78,1.44,11.61,4.6,4.07
85.55,70.37,47.42,9.78,49.16,47.35,17.32,43.39,39.85,61.59,63.51,4.53
37.46,62.59,50.31,85.65,65.87,16.29,7.06,64.24,2.65,58.58,94.02,57.55
38.82,64.33,45.83,54.56,94.15,38.61,96.12,90.54,19.58,6.94,10.08,1.82
